student,test,rating
student_id,name,score
595,response_behaviour,4
595,reading,1
595,working_memory,5
595,processing_speed,2
595,math_fluency,3
595,long_term_memory,3
595,emotion,1
596,response_behaviour,4
596,reading,2
596,working_memory,5
596,processing_speed,3
596,math_fluency,2
596,long_term_memory,5
596,emotion,1
597,response_behaviour,4
597,working_memory,5
597,processing_speed,3
597,math_fluency,4
597,long_term_memory,5
597,reasoning,3
597,emotion,1
598,response_behaviour,4
598,working_memory,5
598,processing_speed,5
598,math_fluency,3
598,long_term_memory,5
598,reasoning,2
598,emotion,1
599,response_behaviour,4
599,working_memory,4
599,processing_speed,2
599,math_fluency,3
599,long_term_memory,5
599,reasoning,5
599,emotion,1
600,response_behaviour,4
600,working_memory,3
600,processing_speed,2
600,math_fluency,4
600,long_term_memory,5
600,reasoning,5
600,emotion,1
601,reading,2
601,working_memory,5
601,processing_speed,5
601,math_fluency,5
601,long_term_memory,1
601,reasoning,4
601,emotion,1
602,response_behaviour,4
602,reading,5
602,working_memory,5
602,processing_speed,3
602,math_fluency,4
602,reasoning,2
602,emotion,1
603,response_behaviour,4
603,reading,4
603,working_memory,5
603,processing_speed,5
603,math_fluency,5
603,reasoning,5
603,emotion,1
604,response_behaviour,4
604,reading,3
604,working_memory,5
604,processing_speed,4
604,math_fluency,4
604,long_term_memory,5
604,reasoning,4
605,response_behaviour,4
605,reading,4
605,working_memory,5
605,processing_speed,2
605,math_fluency,5
605,reasoning,4
605,emotion,1
606,response_behaviour,4
606,reading,5
606,working_memory,5
606,processing_speed,3
606,math_fluency,4
606,long_term_memory,5
606,emotion,1
607,response_behaviour,4
607,reading,4
607,processing_speed,5
607,math_fluency,5
607,long_term_memory,5
607,reasoning,2
607,emotion,1
608,response_behaviour,4
608,reading,5
608,working_memory,5
608,processing_speed,1
608,math_fluency,5
608,long_term_memory,5
608,reasoning,2
609,response_behaviour,4
609,reading,1
609,processing_speed,1
609,math_fluency,1
609,long_term_memory,1
609,reasoning,1
609,emotion,1
610,response_behaviour,4
610,reading,5
610,working_memory,5
610,processing_speed,4
610,long_term_memory,5
610,reasoning,4
610,emotion,1
611,response_behaviour,4
611,reading,5
611,working_memory,5
611,processing_speed,4
611,math_fluency,1
611,long_term_memory,5
611,emotion,1
612,response_behaviour,3
612,reading,5
612,working_memory,5
612,math_fluency,5
612,long_term_memory,5
612,reasoning,5
612,emotion,5
613,response_behaviour,4
613,working_memory,1
613,processing_speed,3
613,math_fluency,1
613,long_term_memory,3
613,reasoning,1
613,emotion,1
614,response_behaviour,4
614,reading,5
614,working_memory,2
614,processing_speed,2
614,math_fluency,3
614,long_term_memory,5
614,emotion,1
615,response_behaviour,4
615,reading,5
615,working_memory,5
615,processing_speed,5
615,long_term_memory,5
615,reasoning,1
615,emotion,1
616,response_behaviour,3
616,working_memory,5
616,processing_speed,4
616,math_fluency,3
616,long_term_memory,2
616,reasoning,4
616,emotion,1
696,response_behaviour,4
696,reading,4
696,working_memory,5
696,processing_speed,3
696,math_fluency,3
696,reasoning,4
696,calculus,5
696,emotion,1
697,response_behaviour,3
697,reading,4
697,working_memory,5
697,processing_speed,3
697,long_term_memory,4
697,reasoning,5
697,calculus,5
697,emotion,4
698,response_behaviour,4
698,reading,4
698,processing_speed,5
698,math_fluency,4
698,long_term_memory,5
698,reasoning,4
698,calculus,3
698,emotion,1
699,response_behaviour,4
699,reading,3
699,working_memory,5
699,processing_speed,3
699,math_fluency,1
699,reasoning,5
699,calculus,3
699,emotion,1
701,reading,4
701,working_memory,5
701,processing_speed,3
701,math_fluency,5
701,long_term_memory,5
701,reasoning,5
701,calculus,5
701,emotion,1
702,response_behaviour,4
702,reading,1
702,working_memory,5
702,processing_speed,2
702,long_term_memory,5
702,reasoning,2
702,calculus,3
702,emotion,1
703,response_behaviour,4
703,reading,2
703,working_memory,5
703,processing_speed,2
703,math_fluency,2
703,long_term_memory,5
703,reasoning,3
703,emotion,1
704,response_behaviour,4
704,working_memory,5
704,processing_speed,2
704,math_fluency,1
704,long_term_memory,5
704,reasoning,3
704,calculus,1
704,emotion,1
705,response_behaviour,4
705,reading,4
705,working_memory,5
705,processing_speed,2
705,long_term_memory,5
705,reasoning,4
705,calculus,4
705,emotion,1
706,response_behaviour,4
706,reading,3
706,working_memory,5
706,math_fluency,3
706,long_term_memory,5
706,reasoning,5
706,calculus,3
706,emotion,1
708,response_behaviour,4
708,reading,3
708,working_memory,5
708,processing_speed,4
708,math_fluency,3
708,reasoning,5
708,calculus,1
708,emotion,1
713,response_behaviour,3
713,reading,4
713,working_memory,5
713,processing_speed,3
713,math_fluency,5
713,long_term_memory,5
713,calculus,5
713,emotion,3
714,response_behaviour,4
714,reading,2
714,working_memory,5
714,processing_speed,4
714,math_fluency,2
714,long_term_memory,5
