student_id,dimension,score
3244,reading,4
1031,execution_speed,1
1831,processing_speed,3
2274,processing_speed,3
2529,calculus,4
2450,reading,5
2021,execution_speed,5
3266,calculus,1
2881,reasoning,1
943,reading,3
2374,reasoning,5
2195,processing_speed,3
2289,emotion,2
1954,execution_speed,5
2100,processing_speed,4
2753,processing_speed,1
1910,processing_speed,2
1337,processing_speed,4
3296,execution_speed,2
2245,reasoning,5
2080,reading,5
3039,reading,4
2861,reading,1
2264,execution_speed,1
2866,reading,1
2083,reading,2
1421,emotion,2
2121,reading,4
2110,processing_speed,1
1853,execution_speed,3
1535,emotion,5
3304,reasoning,3
1477,math_fluency,4
2447,reading,3
1474,emotion,2
3304,math_fluency,2
2057,execution_speed,2
926,calculus,4
2421,processing_speed,1
2171,reasoning,4
883,calculus,5
2731,math_fluency,2
2602,math_fluency,1
2094,math_fluency,4
3137,math_fluency,3
3160,emotion,2
876,emotion,1
1356,reading,2
3060,execution_speed,5
1937,emotion,3
1972,reading,4
2070,execution_speed,4
2621,reasoning,4
2328,calculus,2
2477,reading,5
2364,calculus,4
1307,processing_speed,4
1633,execution_speed,1
3115,emotion,1
749,math_fluency,2
2616,emotion,5
1329,reasoning,3
808,math_fluency,5
2439,reading,4
2576,reading,5
2608,math_fluency,1
2160,reasoning,4
1500,emotion,2
1435,reading,1
2709,reading,1
2727,execution_speed,4
1277,execution_speed,3
1521,calculus,5
3275,processing_speed,3
3092,reading,4
2278,processing_speed,5
2805,reading,5
821,execution_speed,1
3275,math_fluency,4
1646,reading,1
1054,reading,1
3133,calculus,3
3158,reasoning,1
1724,execution_speed,2
2081,emotion,1
2626,calculus,1
777,reading,4
3256,execution_speed,2
2169,reading,4
3075,execution_speed,3
1397,processing_speed,1
2375,processing_speed,4
846,calculus,5
1950,math_fluency,2
1922,math_fluency,4
1456,emotion,5
2242,execution_speed,2
1451,calculus,4
1440,reading,4
927,math_fluency,2
2110,reading,5
1540,calculus,4
2705,emotion,2
3152,processing_speed,4
2277,processing_speed,2
3236,math_fluency,4
2712,reasoning,5
2179,execution_speed,1
2400,calculus,3
2525,processing_speed,2
2269,reading,4
1423,processing_speed,3
1765,emotion,1
1994,reading,1
2150,reading,5
1907,math_fluency,2
2482,reasoning,3
750,execution_speed,1
2079,reading,2
2134,emotion,5
2862,calculus,5
1536,emotion,4
948,processing_speed,5
2510,execution_speed,3
1338,emotion,3
1029,execution_speed,5
1780,reasoning,4
1936,reading,4
2341,calculus,1
2550,emotion,3
2252,reading,5
3231,emotion,1
785,execution_speed,5
2880,execution_speed,3
2592,reasoning,1
1537,reasoning,3
970,reading,3
3231,execution_speed,5
3040,reasoning,3
3040,reasoning,2
2755,emotion,1
2166,calculus,5
2388,reading,3
2703,math_fluency,1
2597,execution_speed,3
2010,execution_speed,3
2255,processing_speed,5
1380,math_fluency,5
902,execution_speed,1
1341,math_fluency,5
2221,calculus,2
1000,math_fluency,5
1341,emotion,1
2643,reading,3
3071,execution_speed,5
2882,calculus,1
1281,reading,3
2383,calculus,5
1865,execution_speed,2
604,emotion,1
2298,calculus,5
1838,execution_speed,2
1798,reading,5
923,emotion,3
969,reasoning,2
1292,processing_speed,4
2128,reasoning,5
2484,reasoning,3
3220,reading,4
2262,reasoning,5
1422,processing_speed,4
1357,math_fluency,5
801,processing_speed,3
1408,execution_speed,1
3081,emotion,4
1863,processing_speed,4
1771,emotion,3
3115,reading,5
3148,math_fluency,5
3055,math_fluency,2
1876,math_fluency,1
1032,execution_speed,3
2524,processing_speed,1
3089,processing_speed,4
2466,processing_speed,3
1642,execution_speed,1
1350,emotion,2
2056,math_fluency,4
2183,math_fluency,5
1448,execution_speed,1
771,math_fluency,4
1089,execution_speed,1
971,emotion,1
1700,reading,2
1428,emotion,2
1014,processing_speed,2
1021,execution_speed,1
3243,math_fluency,4
2370,math_fluency,5
2633,execution_speed,4
1548,emotion,1
2259,processing_speed,5
2600,reading,2
2165,reading,5
1852,reading,5
1021,calculus,3
756,execution_speed,1
2296,math_fluency,4
2700,math_fluency,5
1800,reasoning,4
1765,reading,5
1418,emotion,4
2585,reasoning,2
3254,reading,2
2390,reading,4
1869,reading,3
1634,execution_speed,1
2244,math_fluency,1
1929,math_fluency,3
3147,emotion,2
2460,math_fluency,5
1340,reading,5
1942,reading,1
2542,processing_speed,2
1515,math_fluency,1
853,calculus,3
3247,execution_speed,3
1924,execution_speed,2
1752,reading,1
2227,reasoning,3
2654,execution_speed,1
3038,execution_speed,4
2341,reading,1
1805,processing_speed,1
2246,emotion,5
2361,emotion,2
2198,reading,5
731,reasoning,5
2346,execution_speed,5
3021,processing_speed,4
1845,emotion,4
1405,emotion,2
2351,processing_speed,4
2701,math_fluency,2
1447,processing_speed,3
1425,processing_speed,1
840,execution_speed,3
1899,emotion,3
1824,processing_speed,3
3032,math_fluency,4
2389,execution_speed,3
1012,reasoning,1
2713,execution_speed,2
3029,calculus,5
1921,execution_speed,4
1272,reasoning,4
2837,reading,4
1324,emotion,2
1791,emotion,5
1470,calculus,4
2473,execution_speed,3
892,execution_speed,3
998,emotion,3
1931,processing_speed,1
1002,execution_speed,2
1019,reasoning,1
1786,reading,5
921,emotion,5
1011,reasoning,4
976,math_fluency,4
2716,execution_speed,4
2065,execution_speed,4
2579,execution_speed,5
1436,processing_speed,3
1290,reasoning,3
3087,execution_speed,5
1522,calculus,4
2244,execution_speed,3
2554,execution_speed,4
1545,execution_speed,2
3300,execution_speed,2
1868,emotion,3
1413,reasoning,3
2888,reading,3
1774,reasoning,4
864,math_fluency,5
1845,reasoning,5
3056,math_fluency,3
1907,reasoning,4
2767,reasoning,4
1282,reading,1
2211,math_fluency,2
2620,reading,3
3277,processing_speed,1
3277,calculus,1
3265,math_fluency,3
1006,emotion,3
2310,processing_speed,4
2733,processing_speed,5
2878,calculus,2
3049,reading,5
2003,reading,2
1047,math_fluency,3
1788,execution_speed,4
2263,reading,3
2877,math_fluency,3
1513,processing_speed,5
2348,execution_speed,4
3058,execution_speed,5
1775,reasoning,2
3145,math_fluency,2
1321,reading,1
2469,execution_speed,5
872,calculus,1
3263,math_fluency,4
969,calculus,4
1372,calculus,2
2548,processing_speed,2
2696,processing_speed,5
2605,execution_speed,2
697,processing_speed,3
930,execution_speed,4
1279,execution_speed,4
1980,execution_speed,2
2146,math_fluency,5
1977,execution_speed,2
1025,reasoning,1
3137,processing_speed,2
3079,emotion,5
1475,reading,2
1060,processing_speed,3
1439,emotion,4
3126,execution_speed,1
2884,reading,2
2205,execution_speed,3
2385,execution_speed,3
804,emotion,2
2342,math_fluency,3
2602,reading,2
2233,math_fluency,5
2478,reasoning,5
2261,math_fluency,5
2257,calculus,5
867,emotion,2
3238,execution_speed,2
2187,execution_speed,4
2383,emotion,4
834,emotion,1
3275,calculus,5
1057,processing_speed,3
2837,execution_speed,4
3280,execution_speed,1
2704,reading,5
2223,processing_speed,4
2104,processing_speed,3
984,reasoning,3
2108,math_fluency,3
1793,reading,2
2580,emotion,4
3230,execution_speed,2
1305,reading,5
3242,processing_speed,1
3267,execution_speed,1
2778,reasoning,4
723,emotion,3
1055,execution_speed,3
3093,reasoning,4
1871,processing_speed,1
2495,processing_speed,3
1295,calculus,5
3299,execution_speed,2
748,reasoning,3
704,execution_speed,2
1544,calculus,3
2135,execution_speed,1
1879,emotion,3
2611,math_fluency,3
903,reading,1
1880,reasoning,3
2882,processing_speed,1
858,math_fluency,5
1527,processing_speed,3
804,reading,5
2152,reasoning,5
1418,calculus,3
1872,reasoning,4
3080,processing_speed,1
1774,reading,2
2742,reading,3
2687,reading,3
2113,processing_speed,2
1368,reasoning,4
1318,calculus,2
2804,execution_speed,4
3062,processing_speed,1
1536,reasoning,2
3283,emotion,5
2415,reading,5
2128,processing_speed,5
1276,execution_speed,4
1404,reading,2
2615,execution_speed,1
2860,math_fluency,1
1939,math_fluency,2
2868,reading,3
3222,reading,4
878,execution_speed,2
1002,reading,2
1068,processing_speed,2
2139,execution_speed,4
2285,emotion,2
959,calculus,5
1926,reading,3
854,processing_speed,2
1941,emotion,4
1001,processing_speed,5
