,a,b,c
0,727,68,4
1,506,568,5
2,363,849,2
3,583,655,5
4,109,365,4
5,660,3,1
6,328,748,3
7,720,286,5
8,889,597,3
9,42,294,4
10,351,304,3
11,208,66,4
12,690,1028,4
13,321,357,4
14,708,887,2
15,416,288,5
16,450,3,4
17,927,535,3
18,922,222,4
19,551,235,1
20,399,78,3
21,553,1126,4
22,521,300,3
23,168,1028,2
24,761,147,4
25,650,136,4
26,318,26,5
27,599,255,5
28,854,106,3
29,659,186,3
30,254,622,4
31,450,205,4
32,94,509,5
33,223,155,5
34,487,1410,5
35,416,875,2
36,924,174,5
37,617,452,1
38,13,585,4
39,730,237,3
40,179,353,1
41,345,9,4
42,864,1047,3
43,790,771,4
44,536,862,3
45,852,568,4
46,774,871,1
47,504,678,4
48,545,144,3
49,764,284,4
50,303,128,4
51,690,781,2
52,812,326,4
53,109,177,4
54,56,323,3
55,659,23,5
56,312,813,5
57,829,1120,2
58,95,98,4
59,458,704,2
60,5,374,3
61,833,157,2
62,826,127,5
63,28,185,5
64,715,732,3
65,692,208,4
66,752,331,4
67,715,81,4
68,293,11,3
69,496,393,1
70,648,22,4
71,690,56,4
72,454,742,3
73,726,819,3
74,286,988,3
75,468,39,3
76,87,783,4
77,145,12,5
78,454,22,4
79,537,770,3
80,311,443,3
81,661,972,3
82,741,131,4
83,387,91,4
84,795,118,2
85,693,197,3
86,373,110,3
87,389,649,4
88,193,280,4
89,502,258,2
90,13,13,5
91,435,327,3
92,398,633,4
93,75,988,2
94,59,435,5
95,901,429,5
96,45,764,4
97,852,252,3
98,823,286,5
99,545,732,4
100,875,181,4
101,213,582,4
102,627,11,4
103,578,298,4
104,326,239,3
105,632,318,5
106,116,311,3
107,890,228,4
108,409,209,5
109,690,66,3
110,374,763,3
111,639,165,3
112,450,1163,3
113,542,401,3
114,782,1257,1
115,881,49,5
116,918,82,3
117,878,100,2
118,279,428,1
119,376,11,4
120,830,294,3
121,747,12,4
122,286,408,4
123,468,475,4
124,16,172,5
125,913,690,3
126,606,833,5
127,129,323,1
128,537,382,3
129,311,127,4
130,719,98,5
131,477,275,5
132,754,922,3
133,615,13,4
134,373,418,5
135,230,117,5
136,177,127,5
137,880,369,1
138,343,334,5
139,804,172,4
140,788,553,3
141,456,50,4
142,419,134,5
143,90,496,4
144,308,47,4
145,682,678,1
146,425,298,4
147,875,753,3
148,825,195,5
149,453,427,3
150,1,58,4
151,843,636,4
152,538,963,4
153,423,327,2
154,606,103,3
155,536,662,5
156,524,178,3
157,389,143,3
158,506,779,2
159,824,748,1
160,381,217,2
161,533,204,4
162,405,1107,1
163,789,50,5
164,148,174,5
165,21,408,5
166,496,1041,1
167,521,154,2
168,878,50,4
169,745,174,3
170,618,420,3
171,655,729,2
172,323,64,5
173,378,1053,3
174,527,425,4
175,293,824,3
176,590,6,5
177,537,186,4
178,385,421,2
179,295,158,4
180,152,88,5
181,461,242,3
182,682,249,3
183,339,1110,4
184,85,582,4
185,246,1052,1
186,214,298,3
187,401,655,3
188,57,477,4
189,276,185,4
190,774,72,1
191,43,222,4
192,336,100,3
193,389,486,4
194,788,97,3
195,746,403,4
196,52,288,3
197,234,591,3
198,308,202,4
199,888,153,4
200,347,356,5
201,790,949,4
202,294,301,4
203,497,183,4
204,222,1188,3
205,907,710,4
206,379,183,4
207,342,57,3
208,455,250,3
209,312,124,3
210,773,145,3
211,566,393,2
212,754,359,3
213,715,135,2
214,669,64,4
215,7,601,5
216,194,399,2
217,897,174,5
218,655,157,3
219,413,258,4
220,537,1420,1
221,527,499,5
222,551,28,4
223,868,233,2
224,60,601,4
225,332,470,5
226,482,295,3
227,269,479,4
228,489,1025,5
229,103,1089,1
230,548,978,2
231,18,197,4
232,401,203,4
233,184,165,4
234,682,108,3
235,313,519,5
236,276,765,3
237,646,258,3
238,389,954,4
239,763,737,2
240,848,200,2
241,763,162,4
242,451,1393,2
243,880,301,4
244,907,318,5
245,716,131,5
246,75,13,5
247,792,595,3
248,188,356,4
249,796,443,2
250,407,202,4
251,815,313,5
252,504,561,4
253,682,1093,3
254,303,21,2
255,621,250,4
256,899,463,4
257,471,1219,4
258,328,1107,3
259,843,121,3
260,222,95,4
261,95,215,4
262,886,230,2
263,409,482,4
264,796,154,3
265,637,1060,2
266,782,989,3
267,450,602,4
268,397,65,2
269,805,68,3
270,860,1041,2
271,189,136,4
272,293,176,4
273,701,19,5
274,648,385,5
275,930,410,3
276,83,356,4
277,682,85,3
278,429,816,2
279,468,170,4
280,288,528,4
281,587,358,3
282,18,649,3
283,2,258,3
284,867,300,2
285,477,36,4
286,758,95,3
287,170,988,3
288,541,763,3
289,193,405,3
290,733,147,1
291,486,818,3
292,269,792,4
293,184,1148,3
294,456,737,3
295,329,117,3
296,112,323,3
297,495,576,3
298,776,436,4
299,444,258,3
300,758,433,5
301,174,111,5
302,589,322,3
303,70,204,3
304,622,934,2
305,923,288,5
306,607,511,5
307,130,17,5
308,648,226,4
309,682,27,3
310,145,226,1
311,372,44,4
312,796,606,4
313,579,1110,1
314,49,455,1
315,892,188,5
316,791,304,4
317,178,293,4
318,450,1054,2
319,254,8,5
320,609,15,5
321,498,591,4
322,224,107,3
323,44,318,5
324,466,232,4
325,429,500,1
326,567,178,4
327,235,429,4
328,642,117,4
329,92,82,2
330,532,1207,2
331,537,459,3
332,938,929,2
333,435,31,5
334,334,19,4
335,870,100,4
336,500,831,3
337,48,136,4
338,11,28,5
339,417,325,2
340,806,50,5
341,500,1616,4
342,896,1351,2
343,276,392,3
344,495,4,3
345,711,185,4
346,836,192,5
347,913,258,4
348,324,508,5
349,271,663,4
350,474,257,3
351,585,1149,4
352,77,228,3
353,884,212,4
354,100,347,4
355,462,358,1
356,846,441,4
357,857,20,3
358,660,229,2
359,471,768,3
360,916,79,3
361,37,930,3
362,21,301,4
363,298,866,3
364,685,886,1
365,724,748,1
366,871,813,3
367,450,169,5
368,397,878,1
369,90,192,4
370,860,508,4
371,145,1025,4
372,894,1142,4
373,84,318,5
374,560,480,3
375,869,122,3
376,882,597,4
377,387,231,3
378,394,288,4
379,640,1228,4
380,795,226,3
381,200,495,3
382,608,508,4
383,493,150,5
384,848,427,5
385,721,179,5
386,405,672,1
387,119,252,3
388,743,744,5
389,13,687,1
390,195,276,4
391,913,184,3
392,579,603,5
393,165,500,3
394,363,257,2
395,908,515,4
396,919,331,4
397,815,526,4
398,393,249,3
399,621,299,1
400,605,934,4
401,622,1419,2
402,365,237,3
403,773,6,3
404,21,993,4
405,425,168,5
406,632,720,3
407,820,343,4
408,194,503,4
409,639,731,2
410,35,937,4
411,694,520,5
412,164,515,4
413,222,68,4
414,113,237,3
415,648,240,2
416,385,1022,3
417,539,258,4
418,457,227,4
419,715,11,4
420,887,1012,1
421,429,737,4
422,832,264,3
423,933,80,2
424,749,24,2
425,505,173,3
426,606,419,4
427,18,952,2
428,401,64,3
429,94,215,4
430,479,283,4
431,246,50,5
432,796,147,5
433,585,740,4
434,13,883,3
435,216,65,4
436,435,225,3
437,308,657,4
438,746,144,5
439,198,248,3
440,520,25,4
441,818,887,4
442,559,216,5
443,407,95,3
444,190,597,2
445,912,483,5
446,416,754,5
447,536,1039,5
448,537,1139,2
449,386,982,3
450,773,730,3
451,26,369,2
452,409,367,3
453,669,537,3
454,321,651,3
455,729,310,3
456,682,317,4
457,487,226,3
458,911,588,4
459,457,91,4
460,828,190,3
461,97,172,4
462,23,156,3
463,913,432,3
464,634,125,4
465,687,245,3
466,376,357,4
467,339,91,5
468,860,1602,3
469,758,448,4
470,378,703,4
471,272,96,5
472,886,53,1
473,936,7,4
474,643,96,5
475,645,673,3
476,334,290,3
477,117,210,4
478,907,781,5
479,11,717,2
480,13,311,3
481,343,528,3
482,608,655,5
483,854,282,2
484,825,411,3
485,930,240,1
486,442,195,4
487,405,445,4
488,723,174,4
489,889,154,4
490,582,151,4
491,802,288,3
492,532,690,4
493,642,88,5
494,384,328,4
495,497,721,3
496,884,923,3
497,757,403,4
498,478,684,4
499,10,414,4
500,690,364,3
501,823,124,4
502,305,202,3
503,782,1380,2
504,805,525,4
505,883,227,3
506,900,318,4
507,277,100,4
508,424,15,4
509,618,218,3
510,659,131,4
511,528,238,3
512,624,321,4
513,196,116,3
514,90,531,4
515,530,1300,2
516,399,433,3
517,560,25,3
518,665,196,4
519,883,210,4
520,332,628,4
521,115,124,5
522,887,289,5
523,673,528,5
524,546,286,2
525,103,487,4
526,896,1112,3
527,663,183,4
528,417,210,3
529,290,64,4
530,447,276,4
531,493,455,5
532,707,4,3
533,239,39,5
534,721,876,3
535,363,47,5
536,557,254,4
537,209,16,4
538,82,286,4
539,465,174,3
540,428,310,4
541,836,603,5
542,303,1046,3
543,734,50,4
544,271,792,4
545,128,26,4
546,761,205,4
547,204,269,4
548,77,25,2
549,268,384,3
550,280,197,2
551,190,328,3
552,550,596,2
553,907,288,5
554,727,163,4
555,893,151,4
556,252,1,5
557,381,483,5
558,130,1039,4
559,312,214,3
560,494,194,4
561,763,609,4
562,404,302,4
563,833,628,4
564,542,12,4
565,194,134,2
566,157,50,4
567,450,60,3
568,667,23,3
569,180,469,5
570,436,127,5
571,399,117,2
572,648,575,3
573,332,56,5
574,406,787,3
575,777,157,3
576,923,129,5
577,378,458,4
578,883,302,5
579,622,169,5
580,659,161,3
581,825,137,2
582,184,127,5
583,94,518,5
584,757,570,3
585,479,200,5
586,389,208,5
587,82,866,3
588,66,127,4
589,942,1028,4
590,412,23,4
591,601,287,1
592,430,1240,3
593,345,44,3
594,716,485,5
595,654,275,5
596,877,538,4
597,757,1035,2
598,815,403,4
599,504,651,4
600,545,139,3
601,854,127,4
602,123,483,4
603,605,827,3
604,734,705,4
605,492,212,3
606,918,704,4
607,466,265,3
608,772,294,4
609,42,135,4
610,798,926,4
611,833,176,2
612,616,288,4
613,448,338,1
614,835,606,5
615,643,519,4
616,450,736,5
617,397,423,5
618,533,274,4
619,436,435,4
620,430,148,2
621,648,123,4
622,793,1142,5
623,249,298,4
624,505,144,3
625,468,12,4
626,486,1405,5
627,643,288,4
628,516,50,5
629,184,443,3
630,94,66,2
631,848,610,5
632,186,1033,3
633,631,873,2
634,878,702,1
635,854,597,2
636,283,433,4
637,465,1078,2
638,140,286,5
639,417,999,3
640,624,1017,3
641,472,374,2
642,57,1096,3
643,398,610,4
644,835,423,4
645,919,4,1
646,936,249,5
647,889,524,4
648,586,51,4
649,568,656,3
650,882,1060,3
651,862,423,4
652,757,164,3
653,169,331,5
654,667,196,5
655,49,301,3
656,586,28,3
657,533,755,3
658,588,578,5
659,662,985,4
660,314,699,5
661,496,554,2
662,480,175,3
663,44,480,4
664,279,395,4
665,874,275,4
666,872,1028,3
667,749,977,4
668,92,500,4
669,780,660,3
670,642,51,5
671,629,11,2
672,666,7,4
673,334,425,4
674,742,282,3
675,154,211,4
676,887,839,4
677,193,895,1
678,712,729,5
679,675,303,5
680,548,39,5
681,456,23,4
682,534,118,4
683,276,354,4
684,774,545,1
685,405,66,5
686,82,81,3
687,639,111,2
688,716,177,2
689,889,226,2
690,582,258,4
691,430,1007,3
692,234,148,3
693,854,1028,2
694,326,588,3
695,942,423,5
696,497,590,2
697,466,117,5
698,79,268,5
699,524,143,3
700,817,147,3
701,690,739,3
702,379,622,5
703,305,327,3
704,874,340,3
705,922,122,2
706,201,438,1
707,699,147,2
708,457,540,3
709,655,1140,3
710,943,132,3
711,745,177,3
712,263,202,4
713,487,1276,2
714,286,121,3
715,711,699,5
716,641,30,4
717,592,813,4
718,802,687,3
719,454,1203,2
720,537,221,3
721,727,765,2
722,650,452,2
723,642,400,4
724,615,428,5
725,11,258,5
726,680,195,4
727,569,748,2
728,417,111,3
729,509,705,4
730,661,196,3
731,440,312,5
732,675,286,4
733,6,507,4
734,707,154,3
735,694,210,4
736,449,702,5
737,301,693,5
738,216,735,5
739,52,333,4
740,181,111,3
741,128,405,4
742,882,172,5
743,492,482,3
744,116,596,5
745,63,79,3
746,393,87,4
747,621,721,4
748,363,737,1
749,697,1,5
750,312,97,5
751,494,329,3
752,5,194,4
753,833,449,2
754,7,628,3
755,694,451,4
756,194,29,2
757,870,202,3
758,512,186,5
759,90,474,5
760,588,365,5
761,463,288,1
762,774,413,1
763,931,286,5
764,422,53,4
765,85,229,3
766,491,900,5
767,380,423,3
768,532,292,4
769,592,7,5
770,313,490,4
771,541,210,5
772,862,50,5
773,564,117,4
774,527,99,3
775,804,932,3
776,142,7,4
777,880,258,4
778,398,173,4
779,181,547,1
780,790,755,3
781,151,847,5
782,354,185,3
783,905,319,2
784,84,274,4
785,430,258,4
786,711,151,4
787,568,479,5
788,363,301,3
789,326,435,3
790,554,222,4
791,642,722,3
792,919,292,3
793,577,151,4
794,425,898,3
795,833,13,2
796,796,183,5
797,703,127,5
798,300,1094,5
799,305,628,4
800,524,6,5
801,450,631,4
802,862,56,3
803,715,33,3
804,330,1,5
805,798,384,2
806,867,250,4
807,523,934,4
808,249,183,4
809,800,289,4
810,374,979,3
811,892,671,5
812,452,636,5
813,514,531,3
814,71,282,3
815,638,188,3
816,200,1217,4
817,41,195,4
818,560,1405,4
819,80,887,4
820,154,482,4
821,546,928,4
822,936,252,2
823,691,185,5
824,683,879,3
825,210,1,5
826,269,1011,4
827,184,1121,4
828,456,710,3
829,255,222,3
830,181,1255,1
831,128,1053,3
832,495,559,4
833,850,490,5
834,505,951,3
835,151,499,5
836,559,502,4
837,407,869,3
838,301,418,3
839,504,210,4
840,709,233,3
841,303,692,4
842,822,588,2
843,70,225,3
844,453,231,2
845,671,947,3
846,538,191,5
847,79,93,2
848,551,1035,2
849,374,619,3
850,305,48,5
851,178,318,5
852,676,1,5
853,96,195,5
854,883,1021,5
855,201,231,2
856,148,474,5
857,187,52,4
858,685,333,1
859,552,300,4
860,747,156,3
861,738,199,4
862,452,48,5
863,415,204,4
864,823,195,4
865,55,117,3
866,348,225,3
867,756,230,3
868,629,144,5
869,85,1010,2
870,862,521,5
871,267,77,3
872,343,318,5
873,936,1368,5
874,788,665,2
875,592,1514,5
876,864,15,4
877,618,200,5
878,276,501,4
879,495,227,5
880,43,418,4
881,405,215,5
882,903,56,5
883,119,727,5
884,698,199,2
885,672,864,3
886,901,71,4
887,271,690,4
888,474,298,3
889,437,166,4
890,693,443,2
891,942,210,4
892,922,418,4
893,423,471,3
894,280,31,4
895,63,828,1
896,923,823,4
897,854,537,3
898,303,1218,4
899,125,211,3
900,312,432,5
901,21,264,3
902,828,582,3
903,600,568,4
904,210,435,4
905,450,322,4
906,858,327,3
907,180,367,1
908,346,147,4
909,399,143,5
910,627,62,4
911,76,264,3
912,648,665,2
913,770,244,4
914,422,181,4
915,659,191,5
916,929,144,3
917,124,28,3
918,585,1558,5
919,659,507,5
920,454,661,4
921,920,346,4
922,828,306,3
923,798,378,4
924,405,651,5
925,389,118,2
926,13,650,2
927,788,271,3
928,693,216,4
929,234,735,3
930,308,122,4
931,271,118,3
932,682,924,5
933,347,404,4
934,693,576,2
935,497,7,3
936,719,185,4
937,137,118,5
938,303,321,3
939,342,169,5
940,919,1278,4
941,257,1129,5
942,291,1277,4
943,593,301,4
944,26,678,2
945,632,693,2
946,796,326,4
947,889,737,3
948,727,367,3
949,526,875,3
950,104,270,4
951,450,774,4
952,14,191,4
953,528,402,4
954,881,106,4
955,293,460,3
956,897,1531,4
